"source_nid","Additional","Street","City","Province"
"25994","","","",""
"40464","","","",""
"55856","","","",""
"59874","","","",""
"94956","","","",""
"131248","","","",""
"132122","","","",""
"132701","1510 E. University Blvd.","Main Library,","Tucson, AZ",""
"133284","3233 E. Speedway Blvd.","The Loft Cinema,","Tucson, AZ",""
"133468","1020 E. University Blvd.","Women's Plaza of Honor,","Tucson, AZ",""
"133607","1025 N. Olive Rd.","Tornabene Theatre,","Tucson, AZ",""
"133623","1031 N. Olive Rd.","University of Arizona Museum of Art,","Tucson, AZ",""
"133628","1305 N. Martin Ave.","Nursing Building, Room 470,","Tucson, AZ",""
"133632","1510 E. University Blvd.","Main Library,","Tucson, AZ",""
"133634","","","",""
"133656","","","",""
"133657","1040 E. 4th St.","Gould-Simpson Building, Room 228A,","Tucson, AZ",""
"133658","","","",""
"133659","","","",""
"133674","101 W. Irvington Rd.","El Pueblo Neighborhood Center, Patio and Multipurpose Room,","Tucson, AZ",""
"133679","1118 E. 4th St.","Physics-Atmospheric Sciences Building, Room 218,","Tucson, AZ",""
"133685","1306 E. University Blvd.","Chemistry Building, Room 311,","Tucson, AZ",""
"133686","3233 E. Speedway Blvd.","The Loft Cinema,","Tucson, AZ",""
"133687","1512 E. First St.","Learning Services Building, Room 107,","Tucson, AZ",""
"133689","","","",""
"133699","","","",""
"133700","","","",""
"133701","1630 E. University Blvd.","Meinel Optical Sciences, Room 821,","Tucson, AZ",""
"133702","Main Library B250, CATalyst Studios","1510 E University Boulevard","Tucson","Arizona"
"133712","Room 821","Meinel Optical Sciences","Tucson","Arizona"
"133713","College of Education, TLS, Worlds of Words","1430 E Second St, Rm 453","Tucson","Arizona"
"133717","1118 E. 4th St.","Physics-Atmospheric Sciences Building, Room 236,","Tucson, AZ",""
"133719","","Washington, D.C. Center for Outreach & Collaboration","Washington, D.C.",""
"133728","Room 224","Social Sciences","Tucson","Arizona"
"133742","Rm. C401","Health Sciences Education Bldg.","Tucson","Arizona"
"133746","Room 228A","Gould Simpson","Tucson","Arizona"
"133747","103","McClelland Park","Tucson","Arizona"
"133751","Room 215","Emil W. Haury Building ","Tucson","Arizona"
"133755","","","",""
"133761","","University Blvd","Tucson","Arizona"
"133762","College of Education, Worlds of Words Center","1430 E Second St, Rm 453","Tucson","Arizona"
"133767","","","",""
"133772","Room 215","Emil W. Haury Building","Tucson","Arizona"
"133789","Room 323","Psychology","Tucson","Arizona"
"133800","","","",""
"133808","Room N305","Steward Observatory","Tucson","Arizona"
"133811","2500 E Ajo Way","Kino Sports Complex","Tucson","Arizona"
"133814","Room 228A","Gould SImpson","Tucson","Arizona"
"133815","Room N305","Steward Observatory","Tucson","Arizona"
"133816","","","",""
"133817","","","",""
"133818","","","",""
"133822","Room 232","John W. Harshbarger Building","Tucson","Arizona"
"133827","","","",""
"133828","","","",""
"133836","","1601 E University Blvd. ","Tucson","Arizona"
"133837","","1601 E University Blvd. ","Tucson","Arizona"
"133838","1209 E University Blvd","University of Arizona BookStore","Tucson","Arizona"
"133839","","","",""
"133851","","","",""
"133852","349","Education","Tucson","Arizona"
"133858","","Psychology 323","Tucson","Arizona"
"133859","2720 East River Road","The Hacienda at the River","Tucson","Arizona"
"133862","","Env and Nat Resources Phase 2, room S395","Tucson","Arizona"
"133863","","Steward Observatory, N305","Tucson","Arizona"
"133864","Rm. 8403","Arizona Health Sciences Center","Tucson","Arizona"
"133865","","","",""
"133870","1303 E. University Blvd","Student Union Memorial Center","Tucson","Arizona"
"133871","Rm. 102","Medical Research Building","Tucson","Arizona"
"133873","Rm. 338A","Civil Engineering","Tucson","Arizona"
"133877","","","",""
"133878","","Communication, room 207","Tucson","Arizona"
"133879","","Gould-Simpson, room 228A","Tucson","Arizona"
"133882","","949 E. Second Street","Tucson","Arizona"
"133883","Suite 605","1670 E. Drachman St.","Tucson","Arizona"
"133891","","","",""
"133893","203","Speech And Hearing Sciences","Tucson","Arizona"
"133905","","","",""
"133906","","","",""
"133909","Room 215","Emil W. Haury Building","Tucson","Arizona"
"133913","KIEWIT AUD","Leon Levy Cancer Center","Tucson","Arizona"
"133914","","","",""
"133919","1601 E University Blvd.","Flandrau Science Center and Planetarium","Tucson","Arizona"
"133920","","","",""
"133930","Room 302","Engineering","Tucson","Arizona"
"133931","Room 332A","Harvill Building","Tucson","Arizona"
"133941","","","",""
"133944","","880 E. 2nd St","Tucson","Arizona"
"133957","","","",""
"133958","","","",""
"133963","","","",""
"133964","1601 E. University Blvd.","Flandrau Planetarium,","Tucson, AZ",""
"133968","Room 530","Electrical & Computer Engineering","Tucson","Arizona"
"133969","","1601 E University Blvd.","Tucson","Arizona"
"133974","","","",""
"133975","","","",""
"133976","Room 207","Communication","Tucson","Arizona"
"133988","","","",""
"133989","236","Physics-Atmospheric Sciences","Tucson","Arizona"
"133993","","","",""
"134004","Room 228A","Gould SImpson","Tucson","Arizona"
"134005","A120","Roy P. Drachman Hall","Tucson","Arizona"
"134006","","","",""
"134008","1657 E Helen St","Thomas W. Keating Bioresearch Building, Room 103","Tucson","Arizona"
"134009","","","",""
"134012","","1601 E University Blvd.","Tucson","Arizona"
"134018","","4190 Arizona 80, Douglas, AZ, 85607","Douglas","Arizona"
"134024","208","Biosciences West","Tucson","Arizona"
"134027","","","",""
"134030","","","",""
"134046","Room 821","Meinel Optical Sciences","Tucson","Arizona"
"134048","Rm. 216","Douglass Building","Tucson","Arizona"
"134057","1510 E. University Blvd.","University of Arizona's Main Library CATalyst Studio (lobby of the Main Library)","TUCSON","Arizona"
"134058","","","",""
"134059","","1670 E Drachman St","Tucson","Arizona"
"134063","","1601 E University Blvd.","Tucson","Arizona"
"134064","","","",""
"134065","","","",""
"134066","","","",""
"134067","","","",""
"134068","Rm. 430E","McClelland Hall","Tucson","Arizona"
"134070","Room S215","Env & Natural Resources Phase 2","Tucson","Arizona"
"134071","","1601 E University Blvd. ","Tucson","Arizona"
"134082","","","",""
"134088","Rm. C401","Health Sciences Innovation Building","Tucson","Arizona"
"134093","Room 440","Shantz Building,","Tucson","Arizona"
"134094","332","Richard P. Harvill Building","Tucson","Arizona"
"134096","218","Physics-Atmospheric Sciences","Tucson","Arizona"
"134097","","Student Union Ballroom","Tucson","Arizona"
"134098","","949 E 2nd St","Tucson","Arizona"
"134099","","","",""
"134106","","","",""
"134109","406A","Cesar E Chavez Building","Tucson","Arizona"
"134121","","","",""
"134122","","1475 N. Scottsdale Road","Scottsdale","Arizona"
"134127","","","",""
"134130","","","",""
"134131","","","",""
"134132","","","",""
"134133","","","",""
"134134","","","Tucson","Arizona"
"134135","","","",""
"134142","","","",""
"134143","","1601 E University Blvd.","Tucson","Arizona"
"134144","","1601 E University Blvd. ","Tucson","Arizona"
"134145","","1601 E University Blvd.","Tucson","Arizona"
"134146","","","",""
"134147","","","",""
"134148","Sullivan Room","College of Law Building,","Tucson","Arizona"
"134150","","","",""
"134161","","","",""
"134162","","","",""
"134163","311","Chemistry","Tucson","Arizona"
"134164","311","Chemistry","Tucson","Arizona"
"134171","Room 821","Meinel Optical Sciences","Tucson","Arizona"
"134173","","1064 E Lowell St","Tucson","Arizona"
"134174","Rm. 301","Engineering Bldg. ","Tucson","Arizona"
"134175","Room S395","Environmental and Natural Resources 2,","Tucson","Arizona"
"134176","Rm. A114","Roy P. Drachman Hall","Tucson","Arizona"
"134177","Room S395","Environmental and Natural Resources 2,","Tucson","Arizona"
"134178","Rm. A114","Roy P. Drachman Hall","Tucson","Arizona"
"134179","","","",""
"134180","Rm. B109"," Drachman Hall","Tucson","Arizona"
"134181","402","Mathematics","Tucson","Arizona"
"134182","409","Speech And Hearing Sciences","Tucson","Arizona"
"134191","","","",""
"134192","","","",""
"134193","1737 E University Blvd","Stevie Eller Dance Theatre","Tucson","Arizona"
"134194","","","",""
"134195","","","",""
"134196","","","",""
"134197","","","",""
"134198","","","",""
"134199","","","",""
"134200","","","",""
"134201","","","",""
"134202","","","",""
"134203","2951A","Leon Levy Cancer Center","Tucson","Arizona"
"134207","","University of Arizona Mall","Tucson","Arizona"
"134208","","","",""
"134212","","University of Arizona Mall","Tucson","Arizona"
"134214","S107","Env and Nat Resources Phase 2","Tucson","Arizona"
"134215","102","Medical Research Building","Tucson","Arizona"
"134218","Student Union Memorial Center Grand Ballroom","1303 E University Blvd","Tucson","Arizona"
"134219","Rm. B111","Roy P. Drachman Hall","Tucson","Arizona"
"134228","","","",""
"134229","Room 530","Electrical & Computer Engineering","Tucson","Arizona"
"134230","Room 1","Nursing,","Tucson","Arizona"
"134231","Room 1","Nursing,","Tucson","Arizona"
"134232","","","",""
"134236","KIEWIT","Leon Levy Cancer Center","Tucson","Arizona"
"134239","","","",""
"134241","327","Chemistry","Tucson","Arizona"
"134247","","","",""
